algorithm,map_name,width,height,density,scenario,execution_time_ms,preprocessing_time_ms,nodes_expanded,path_length,path_cost,portals,jump_points,abstract_graph_size,success
AStar,Berlin_1_256,256,256,real,27,17.261800006963313,0.0,1483,99.0,110.18376618407355,0,0,0,True
JPS,Berlin_1_256,256,256,real,27,82.99439999973401,0.0,1041,119.0,132.66904755831212,0,0,0,True
HPAStar,Berlin_1_256,256,256,real,27,23.044499976094812,11902.065100002801,1597,102.0,111.94112549695426,3694,0,3696,True
HPAJPS,Berlin_1_256,256,256,real,27,43.4497999958694,13319.590800005244,1946,102.0,111.94112549695426,4799,3270,4801,True
AStar,Berlin_1_256,256,256,real,23,3.966999996919185,0.0,550,88.0,92.55634918610403,0,0,0,True
JPS,Berlin_1_256,256,256,real,23,39.24069998902269,0.0,947,112.0,126.49747468305827,0,0,0,True
HPAStar,Berlin_1_256,256,256,real,23,15.937999996822327,10979.06260000309,994,89.0,97.28427124746189,3694,0,3696,True
HPAJPS,Berlin_1_256,256,256,real,23,27.250100014498457,13367.604900005972,1173,88.0,95.0416305603426,4799,3270,4801,True
AStar,Berlin_1_256,256,256,real,14,2.24910001270473,0.0,336,49.0,56.87005768508879,0,0,0,True
JPS,Berlin_1_256,256,256,real,14,19.809699995676056,0.0,590,109.0,119.35533905932738,0,0,0,True
HPAStar,Berlin_1_256,256,256,real,14,11.6262000228744,10890.9510000085,668,50.0,57.455844122715696,3694,0,3696,True
HPAJPS,Berlin_1_256,256,256,real,14,19.31150001473725,13187.601799989352,785,49.0,56.87005768508879,4799,3270,4801,True
AStar,orz900d,1491,656,real,461,525.7913999957964,0.0,71997,1628.0,1823.0945878777325,0,0,0,True
JPS,orz900d,1491,656,real,461,900.6810999999288,0.0,8979,0.0,0.0,0,0,0,False
HPAStar,orz900d,1491,656,real,461,85.36960001219995,26383.752699999604,6325,1629.0,1826.9940828143444,7821,0,7823,True
HPAJPS,orz900d,1491,656,real,461,109.88989999168552,27857.585000019753,7344,1629.0,1826.1656556895982,8990,5793,8992,True
AStar,orz900d,1491,656,real,228,280.74310001102276,0.0,38871,817.0,906.0559159102177,0,0,0,True
JPS,orz900d,1491,656,real,228,677.2943999967538,0.0,15580,977.0,1071.026478658695,0,0,0,True
HPAStar,orz900d,1491,656,real,228,74.07219999004155,26468.321799999103,4873,820.0,908.6417023478446,7821,0,7823,True
HPAJPS,orz900d,1491,656,real,228,89.97269999235868,27763.690599997062,5598,820.0,908.6417023478446,8990,5793,8992,True
AStar,orz900d,1491,656,real,347,477.43199998512864,0.0,63563,1221.0,1375.5016587651685,0,0,0,True
JPS,orz900d,1491,656,real,347,1351.0742000071332,0.0,25428,1435.0,1627.6093065034943,0,0,0,True
HPAStar,orz900d,1491,656,real,347,94.6778999932576,26317.07849999657,7163,1225.0,1378.6732316404225,7821,0,7823,True
HPAJPS,orz900d,1491,656,real,347,119.91030001081526,28090.513900009682,8142,1225.0,1377.8448045156763,8990,5793,8992,True
AStar,random512-10-0,512,512,custom,0,123.81319998530671,0.0,14272,532.0,734.964645562821,0,0,0,True
JPS,random512-10-0,512,512,custom,0,206.9490000139922,0.0,12399,538.0,738.4793641885824,0,0,0,True
HPAStar,random512-10-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
HPAJPS,random512-10-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
AStar,random512-25-0,512,512,custom,0,374.99229999957606,0.0,50908,609.0,782.5554826343307,0,0,0,True
JPS,random512-25-0,512,512,custom,0,339.2685999860987,0.0,36299,610.0,784.79812332145,0,0,0,True
HPAStar,random512-25-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
HPAJPS,random512-25-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
AStar,random512-40-0,512,512,custom,0,0.008800008799880743,0.0,0,0.0,0.0,0,0,0,False
JPS,random512-40-0,512,512,custom,0,0.009000010322779417,0.0,0,0.0,0.0,0,0,0,False
HPAStar,random512-40-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
HPAJPS,random512-40-0,512,512,custom,0,30000.0,0.0,0,0.0,0.0,0,0,0,False
